X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Y1,Y2,Y3,Y4,Y5
2962,0,77,906,5,915.8,869,761.5,648.9,522.2,7.75,14.4,103.0188679,278.490566,29
2964,0,77,906,5,915.6,875.1,761.5,648.9,522.2,7.7,14.4,101.5037594,277.443609,30
2966,0,77,906,5,915.4,875.1,766.5,648.8,522.2,7.6,14.4,99.62686567,275.3731343,29
2968,0,77,906,5,915.3,875.1,766.5,648.8,521.2,7.51,14.4,98.96219422,273.5359526,29
2970,0,77,906,5,915.5,875,766.5,648.8,521.2,7.28,14.4,97.303207,268.9504373,29
2972,0,77,906,5,915.5,875,764.4,649.7,521.2,7.22,14.4,96.87953556,267.7793904,29
2974,0,77,906,5,915.4,875,764.4,649.7,521.1,7.21,14.4,98.98477157,267.5852067,29
2976,0,77,906,5,915.4,872.2,764.4,649.7,521.1,7.37,14.5,101.2472487,270.726339,29
2978,0,77,906,5,915.7,872.2,762.9,649.7,521.1,7.73,14.5,105.1243406,278.0708365,29
2980,0,77,906,5,916.1,872.2,762.9,649.7,520,7.8,14.5,105.6818182,279.5454545,29
2982,0,77,906,5,916.6,871.1,762.9,649.7,520,7.78,14.5,105.5219365,279.1225416,29
2984,0,77,906,5,917.1,871.1,765.5,649.7,520,7.59,14.5,101.7897092,275.1677852,29
2986,0,77,906,5,917.3,871.1,765.5,650.8,520.6,7.6,14.5,101.8656716,275.3731343,29
2988,0,77,906,5,917.7,873.6,765.5,650.8,520.6,7.65,14.5,103.3707865,276.4044944,29
2990,0,77,906,5,918.1,873.6,763.3,650.8,520.6,7.69,14.5,105.9353869,276.1081893,29
2992,0,77,906,5,918.3,873.6,763.3,650.7,520.8,7.68,14.5,106.981982,275.9009009,29
2994,0,77,906,5,918.3,872.6,763.3,650.7,520.8,7.64,14.5,107.7844311,275.0748503,29
2996,0,77,906,5,918.4,872.6,766.4,650.7,520.8,7.71,14.6,109.4808126,276.523702,29
2998,0,77,906,5,918.6,872.6,766.4,651.3,519.5,7.89,14.5,110.9839817,280.3203661,29
3000,0,77,906,5,918.5,872.7,766.4,651.3,519.5,7.98,14.5,111.7511521,282.2580645,29
3002,0,77,906,5,918.4,872.7,765,651.3,519.5,8.04,14.4,111.1111111,283.5648148,29
3004,0,77,906,5,918.8,872.7,765,651.3,519.5,7.84,14.4,109.4224924,278.1155015,29
3006,0,77,906,5,918.9,871.5,765,651.3,518.8,7.43,14.5,106.1164333,269.7126013,29
3008,0,77,906,5,918.9,871.5,763.9,651.3,518.8,7.34,14.5,107.61347,267.9355783,29
3010,0,77,906,5,918.8,871.5,763.9,650.5,518.8,7.32,14.5,111.8421053,267.5438596,29
3012,0,77,906,5,918.8,867.5,763.9,650.5,518,7.35,14.6,119.7802198,268.1318681,28
3014,0,77,906,5,918.8,867.5,764.1,650.5,518,7.34,14.6,121.8887262,266.8374817,28
3016,0,77,906,5,918.9,867.5,764.1,651.6,518,7.39,14.6,122.3365173,267.817781,29
3018,0,77,906,5,918.8,864.9,764.1,651.6,518.8,7.56,14.6,121.6517857,271.2053571,29
3020,0,77,906,5,918.4,864.9,764.3,651.6,518.8,7.67,14.6,121.5303826,273.4433608,29
3022,0,77,906,5,918.4,864.9,764.3,649.7,518.8,7.76,14.6,117.8247734,275.3021148,29
3024,0,77,906,5,918.6,864.9,764.3,649.7,518.8,7.55,14.6,114.8698885,271.0037175,29
3026,0,77,906,5,918.6,869.6,767.5,649.7,518.8,7.27,14.6,115.804807,264.3845594,29
3028,0,77,906,5,918.9,869.6,767.5,649.9,518.8,7.17,14.7,119.3058568,262.472885,29
3030,0,77,906,5,919.6,869.6,767.5,649.9,519,7.11,14.8,132.8293737,261.3390929,29
3032,0,77,906,5,919.9,869.7,765.4,649.9,519,7.17,14.8,149.6746204,262.472885,28
3034,0,77,906,5,920,869.7,765.4,649.9,519,7.21,14.8,160.9862219,263.2342277,28
3036,0,77,906,5,919.9,869.7,765.4,649.9,519.1,7.19,14.8,166.1839247,262.8530051,28
